day_cos,day_sin,Arroyo,Calatayud,Mendavia,Miranda,castejon,palazuelos,ebro,mansilla,tranquera,yesa,caudal_arroyo,caudal_calatayud,caudal_mendavia,caudal_miranda,caudal_castejon,caudal_palazuelos,pred
0.9623090774541484,-0.271958157534106,1.3,7.58,285.6,101.8,4.72,2.12,313.13,40.797,41.174,207.333,1.3,7.58,285.6,101.8,692.0,48.73,3.48
0.4975132889071806,0.8674563547295968,1.37,5.47,843.3,263.0,6.08,3.74,381.714,57.511,55.07,384.851,1.37,5.47,843.3,263.0,1396.0,178.15,3.59
0.1244792638867893,0.9922222094179324,1.17,4.62,872.2,498.6,5.79,5.99,317.116,57.052,44.786,403.426,1.17,4.62,872.2,498.6,1285.0,401.13,3.33
0.7829801036770628,0.6220467484408675,1.39,5.1,584.1,290.2,5.91,4.85,321.627,60.397,28.682,397.35,1.39,5.1,584.1,290.2,1235.0,287.93,3.89
0.7146733860429609,0.6994583270516471,1.38,4.86,595.6,337.6,5.81,5.51,346.669,59.042,29.39,380.692,1.38,4.86,595.6,337.6,1189.0,353.89,3.81
0.9927487224577402,-0.1202080448993527,1.13,5.35,285.8,96.6,5.02,2.31,387.704,59.536,56.463,374.149,1.13,5.35,285.8,96.6,811.0,61.85,3.12
0.4825077417612184,0.8758917051442429,44.43,8.87,655.1,283.7,5.28,4.26,514.759,61.868,59.961,384.471,44.43,8.87,655.1,283.7,1033.0,225.75,3.12
0.4825077417612184,0.8758917051442429,1.32,5.35,423.3,183.8,5.17,3.01,383.344,57.93,55.249,385.611,1.32,5.35,423.3,183.8,935.0,116.0,3.5
0.9623090774541486,0.2719581575341055,1.17,8.71,739.8,231.4,6.7,3.75,416.602,55.967,64.059,404.018,1.17,8.71,739.8,231.4,1791.0,178.79,4.11
0.7829801036770628,0.6220467484408675,1.0,5.61,625.7,246.2,5.44,4.02,299.835,57.775,38.366,392.697,1.0,5.61,625.7,246.2,1266.0,202.81,5.54
0.6118864012687244,0.7909456567567772,19.9,5.5,706.5,515.2,5.7,6.28,494.037,60.192,56.463,382.578,19.9,5.5,706.5,515.2,1189.0,437.95,3.32
-0.1500553983446526,0.9886775902323404,1.18,6.53,241.0,115.7,5.32,2.26,402.589,59.333,33.403,386.753,1.18,6.53,241.0,115.7,991.0,60.75,3.57
0.5560174366570445,0.831170626365808,1.16,58.8,428.3,191.0,4.71,3.75,336.348,59.019,42.459,389.62,1.16,58.8,428.3,191.0,844.0,182.29,3.35
0.9668478136052776,0.255353295116187,1.18,10.61,740.8,548.1,5.92,6.69,414.345,54.665,63.237,412.179,1.18,10.61,740.8,548.1,1369.0,488.58,3.03
0.0387222808921744,0.9992500112396836,33.81,8.45,416.2,174.0,4.95,3.31,505.589,60.443,62.757,379.752,33.81,8.45,416.2,174.0,826.0,141.31,3.18
0.4211008707960896,0.907013812802636,1.31,6.79,411.2,153.4,4.73,3.04,499.499,63.202,53.786,395.406,1.31,6.79,411.2,153.4,931.0,118.08,3.84
0.4673592171580022,0.8840675099433636,1.0,9.23,291.1,109.5,4.99,2.39,351.881,60.946,44.668,394.824,1.0,9.23,291.1,109.5,945.0,67.63,3.44
