day_cos,day_sin,aforo_Arroyo,aforo_Calatayud,aforo_Aragon,aforo_Mendavia,aforo_Miranda,aforo_castejon,aforo_palazuelos,embalse_ebro,embalse_mansilla,embalse_tranquera,embalse_yesa,precipitacion_arce,precipitacion_calatayud,precipitacion_anguiamo,precipitacion_caparroso,precipitacion_leza,precipitacion_onsella,precipitacion_sobron,precipitacion_soto,caudal_arroyo,caudal_aragon,caudal_calatayud,caudal_mendavia,caudal_miranda,caudal_castejon,caudal_palazuelos,pred
0.40542572835999735,0.9141279881853337,17.66,7.77,2.48,317.8,135.7,5.45,2.51,510.475,61.06,60.995,400.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.66,317.97,7.77,317.8,135.7,1110.0,76.4,3.28
0.9787400799669153,0.2051044998686192,1.1,5.98,1.31,169.9,71.2,3.3,1.78,353.976,59.176,38.025,387.898,5.3,0.2,1.3,1.8,0.6,11.2,9.7,1.4,1.1,91.05,5.98,169.9,71.2,404.0,29.19,2.25
-0.9955213724144752,0.09453674981719956,13.07,8.27,0.29,74.1,36.6,1.95,0.87,528.272,61.129,80.207,416.21,0.0,0.0,0.0,0.0,0.0,0.0,0.6,5.0,13.07,9.52,8.27,74.1,36.6,96.0,2.23,0.89
0.9469877530760751,-0.32126966169236515,1.0,4.74,0.26,43.3,14.9,1.93,0.74,353.976,13.936,54.537,276.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.86,4.74,43.3,14.9,94.0,1.13,0.94
0.48250774176121847,0.8758917051442429,0.95,12.06,1.57,264.2,98.7,4.2,2.36,346.669,60.283,44.041,387.516,0.0,0.0,0.0,0.0,0.2,0.0,0.7,2.8,0.95,160.36,12.06,264.2,98.7,653.0,64.92,2.84
0.4520722039323045,-0.8919813464595484,6.49,7.07,0.2,17.3,10.1,1.37,1.24,204.572,28.406,42.957,68.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.49,5.71,7.07,17.3,10.1,28.0,9.35,0.79
0.37371971479046906,0.9275416835791966,1.09,3.89,0.79,43.0,13.5,2.82,1.3,249.12,27.511,49.079,403.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,41.87,3.89,43.0,13.5,214.0,11.12,1.38
-0.8382797052177741,0.5452404385406513,1.23,10.51,0.45,37.9,17.9,1.91,0.75,484.374,61.66,81.565,420.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,15.72,10.51,37.9,17.9,66.0,1.23,0.9
0.6254105729852463,0.7802958510707755,1.37,5.61,0.39,137.3,80.5,2.6,1.78,355.025,19.208,64.788,189.908,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,1.37,11.17,5.61,137.3,80.5,198.0,28.87,1.35
0.8779600847008878,-0.47873384011578907,1.09,6.99,0.41,19.2,10.4,1.73,0.82,282.015,32.358,63.575,191.207,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,13.79,6.99,19.2,10.4,46.0,1.81,0.9
