day_cos,day_sin,aforo_Arroyo,aforo_Calatayud,aforo_Mendavia,aforo_Miranda,aforo_castejon,aforo_palazuelos,caudal_arroyo,caudal_calatayud,caudal_mendavia,caudal_miranda,caudal_castejon,caudal_palazuelos,pred
-0.5631507242749186,0.8263541987239096,29.83,11.19,230.7,110.3,4.23,2.48,29.83,11.19,230.7,110.3,608.0,74.23,2.25
-0.5772916165517272,0.8165380514459161,27.87,10.41,177.3,69.5,3.63,2.19,27.87,10.41,177.3,69.5,431.0,53.44,2.0
-0.5912614448635781,0.8064799463209448,20.43,10.17,147.9,89.0,3.16,2.2,20.43,10.17,147.9,89.0,319.0,53.77,1.76
-0.6050560696488488,0.7961828637826158,20.35,10.81,154.6,76.9,3.18,2.05,20.35,10.81,154.6,76.9,325.0,43.81,1.81
-0.6186714032625031,0.7856498550787147,17.86,11.14,146.2,81.8,3.45,2.01,17.86,11.14,146.2,81.8,388.0,41.14,1.93
-0.6321034111873487,0.7748840413670407,10.8,11.47,155.1,58.0,3.64,1.77,10.8,11.47,155.1,58.0,431.0,28.21,2.02
-0.6453481132295501,0.7638886127905428,6.94,11.84,140.1,51.5,3.36,1.33,6.94,11.84,140.1,51.5,363.0,12.2,1.87
-0.6584015846980488,0.7526668275320084,7.0,17.07,124.6,51.3,2.93,1.27,7.0,17.07,124.6,51.3,272.0,10.34,1.65
-0.6712599575675313,0.741222010848596,11.74,29.11,142.9,48.2,2.84,1.45,11.74,29.11,142.9,48.2,254.0,15.61,1.61
-0.6839194216246103,0.7295575540864878,16.8,28.02,141.0,66.0,2.78,2.13,16.8,28.02,141.0,66.0,242.0,56.77,1.58
-0.6963762255968722,0.717676913675962,20.49,20.0,187.4,112.1,2.91,2.53,20.49,20.0,187.4,112.1,268.0,77.4,1.64
-0.7086266782644596,0.705583610107178,20.48,14.89,194.0,91.8,3.22,2.51,20.48,14.89,194.0,91.8,334.0,76.89,1.74
-0.7206671495538609,0.6932812268869777,17.47,12.45,166.3,60.8,2.95,2.57,17.47,12.45,166.3,60.8,276.0,80.23,1.57
-0.7324940716135786,0.6807734094770165,15.14,11.5,140.2,57.9,2.69,2.39,15.14,11.5,140.2,57.9,226.0,66.96,1.4
-0.7441039398713604,0.6680638642135338,15.04,10.28,126.0,53.3,2.5,2.27,15.04,10.28,126.0,53.3,192.0,58.67,1.26
-0.7554933140726803,0.6551563572090853,7.8,10.15,117.3,47.3,2.36,2.19,7.8,10.15,117.3,47.3,166.0,53.57,1.15
-0.766658819300159,0.6420547132365637,1.39,9.86,92.0,44.2,2.23,2.06,1.39,9.86,92.0,44.2,141.0,44.47,1.08
-0.7775971469736267,0.6287628145958347,1.39,9.19,89.2,31.6,2.14,1.84,1.39,9.19,89.2,31.6,125.0,31.99,1.03
-0.7883050558305252,0.615284599963328,1.43,6.74,81.2,33.1,2.01,1.82,1.43,6.74,81.2,33.1,105.0,30.82,0.94
-0.7987793728863647,0.6016240632249229,1.24,6.55,78.7,25.4,1.98,1.8,1.24,6.55,78.7,25.4,100.0,30.09,0.91
-0.8090169943749473,0.5877852522924732,2.41,8.36,63.4,28.3,1.92,1.75,2.41,8.36,63.4,28.3,93.0,27.58,0.88
-0.8190148866680798,0.5737722679043249,3.29,8.38,66.3,22.9,1.82,1.72,3.29,8.38,66.3,22.9,81.0,25.94,0.85
-0.8287700871745035,0.5595892624101769,3.12,9.46,57.3,23.5,1.85,1.39,3.12,9.46,57.3,23.5,84.0,16.41,0.9
-0.8382797052177741,0.5452404385406513,3.16,9.31,61.0,31.1,1.79,0.79,3.16,9.31,61.0,31.1,77.0,1.59,0.87
-0.8475409228928309,0.5307300481619337,6.36,9.17,67.4,23.4,1.83,0.78,6.36,9.17,67.4,23.4,81.0,1.5,0.89
-0.8565509959010036,0.5160623910158528,2.99,8.8,53.0,20.6,1.79,0.78,2.99,8.8,53.0,20.6,76.0,1.47,0.86
-0.865307254363206,0.5012418134457758,10.7,7.64,49.5,33.8,1.66,0.78,10.7,7.64,49.5,33.8,63.0,1.45,0.8
-0.8738071036110806,0.4862727071086904,18.38,7.58,71.2,23.6,1.74,0.77,18.38,7.58,71.2,23.6,72.0,1.4,0.8
-0.8820480249558534,0.47115950767386416,18.25,7.46,50.8,24.5,1.74,0.77,18.25,7.46,50.8,24.5,71.0,1.37,0.84
-0.8900275764346767,0.4559066935084588,17.99,7.58,50.9,34.0,1.65,0.76,17.99,7.58,50.9,34.0,62.0,1.31,0.78
-0.8977433935342337,0.440518784350495,18.08,7.88,62.2,34.0,1.67,0.76,18.08,7.88,62.2,34.0,63.0,1.27,0.74
-0.9051931898913974,0.42500033996955416,18.09,8.48,58.7,33.9,1.71,0.75,18.09,8.48,58.7,33.9,68.0,1.23,0.85
-0.9123747579707272,0.40935595881562176,18.26,8.89,63.6,31.7,1.76,0.75,18.26,8.89,63.6,31.7,73.0,1.23,0.84
-0.9192859697186103,0.3935902766564671,18.22,8.32,55.7,30.1,1.76,0.75,18.22,8.32,55.7,30.1,73.0,1.23,0.84
-0.9259247771938498,0.3777079652039649,18.18,9.18,51.6,27.0,1.74,0.75,18.18,9.18,51.6,27.0,70.0,1.22,0.86
-0.9322892131745133,0.36171373072976765,17.83,9.92,57.5,29.7,1.74,0.77,17.83,9.92,57.5,29.7,71.0,1.42,0.86
-0.9383773917408641,0.3456123126707335,18.22,9.71,65.2,40.5,1.81,1.19,18.22,9.71,65.2,40.5,79.0,10.18,0.88
-0.9441875088341993,0.3294084822245304,17.53,9.75,96.9,73.5,2.02,2.28,17.53,9.75,96.9,73.5,107.0,63.99,1.03
-0.9497178427914318,0.3131070409358265,12.0,9.31,151.1,116.3,2.37,2.57,12.0,9.31,151.1,116.3,167.0,81.28,1.24
-0.9549667548552552,0.2967128192734903,3.89,9.29,159.9,75.5,2.68,1.83,3.89,9.29,159.9,75.5,225.0,31.7,1.41
-0.9599326896597445,0.2802306751992163,11.82,9.6,121.3,66.8,2.44,2.03,11.82,9.6,121.3,66.8,179.0,55.09,1.27
-0.9646141756912434,0.2636654927280075,49.71,9.2,157.2,187.5,2.23,3.94,49.71,9.2,157.2,187.5,142.0,202.79,1.16
-0.9690098257244061,0.24702218048093594,51.89,8.11,488.1,391.7,2.92,5.66,51.89,8.11,488.1,391.7,276.0,371.15,1.58
-0.9731183372332619,0.23030567023061221,42.11,7.85,581.4,186.8,4.76,3.43,42.11,7.85,581.4,186.8,800.0,151.29,2.46
-0.9769384927771817,0.21352091543979612,29.39,7.5,236.2,114.6,3.7,2.63,29.39,7.5,236.2,114.6,465.0,85.61,2.12
-0.980469160361632,0.19667288979357647,19.17,7.53,180.0,95.7,2.91,2.15,19.17,7.53,180.0,95.7,267.0,50.47,1.6
-0.9837092937736097,0.1797665857255624,12.88,7.62,154.1,69.1,2.84,1.83,12.88,7.62,154.1,69.1,254.0,31.3,1.51
-0.986657932891657,0.16280701293851715,6.81,7.18,125.0,59.7,2.56,1.4,6.81,7.18,125.0,59.7,202.0,14.11,1.31
-0.9893142039703663,0.14579919691987467,6.72,6.78,106.9,43.7,2.31,0.95,6.72,6.78,106.9,43.7,157.0,3.44,1.14
-0.99167731989929,0.12874817745258088,6.9,7.71,77.7,40.7,2.08,0.89,6.9,7.71,77.7,40.7,117.0,2.46,1.0
-0.993746580436178,0.11165900712169467,13.07,8.27,74.1,36.6,1.95,0.87,13.07,8.27,74.1,36.6,96.0,2.23,0.91
-0.9955213724144752,0.09453674981719956,19.75,8.39,67.6,40.6,1.87,0.86,19.75,8.39,67.6,40.6,86.0,2.13,0.89
-0.9970011699250151,0.07738647923346301,19.61,9.02,82.9,41.2,1.88,0.86,19.61,9.02,82.9,41.2,88.0,2.21,0.91
-0.9981855344718586,0.06021327736579302,19.84,9.92,115.9,40.4,2.16,1.01,19.84,9.92,115.9,40.4,131.0,4.45,1.04
-0.99907411510223,0.04302223300453059,19.71,9.79,93.5,40.0,2.12,0.85,19.71,9.79,93.5,40.0,122.0,2.07,1.03
-0.9996666485105112,0.02581844022713308,19.31,12.13,79.7,35.9,1.98,0.81,19.31,12.13,79.7,35.9,101.0,1.72,0.96
-0.9999629591162655,0.008606996888688698,24.35,9.19,76.3,39.8,1.88,0.8,24.35,9.19,76.3,39.8,87.0,1.63,0.89
-0.9999629591162655,-0.008606996888688453,30.12,8.34,76.3,44.4,1.83,0.89,30.12,8.34,76.3,44.4,81.0,3.11,0.87
-0.9996666485105112,-0.025818440227132835,30.09,8.81,80.4,44.1,1.91,1.31,30.09,8.81,80.4,44.1,92.0,11.37,0.92
-0.99907411510223,-0.04302223300453034,30.14,8.48,82.5,48.0,1.95,1.28,30.14,8.48,82.5,48.0,97.0,10.3,0.95
-0.9981855344718586,-0.060213277365792774,29.75,7.84,76.5,46.3,1.91,1.15,29.75,7.84,76.5,46.3,91.0,7.12,0.88
-0.9970011699250151,-0.07738647923346277,34.96,8.37,77.8,45.3,1.79,1.1,34.96,8.37,77.8,45.3,77.0,6.13,0.84
-0.9955213724144752,-0.09453674981719933,39.7,8.12,74.9,47.2,1.73,1.15,39.7,8.12,74.9,47.2,70.0,7.14,0.8
-0.9937465804361781,-0.11165900712169444,41.67,8.56,75.5,49.8,1.71,1.36,41.67,8.56,75.5,49.8,68.0,12.94,0.79
-0.99167731989929,-0.12874817745258066,44.67,8.03,82.1,50.0,1.73,1.49,44.67,8.03,82.1,50.0,70.0,17.18,0.78
-0.9893142039703664,-0.14579919691987442,45.7,7.89,83.0,55.0,1.74,1.59,45.7,7.89,83.0,55.0,71.0,19.78,0.8
-0.9837092937736098,-0.17976658572556214,45.35,8.89,80.6,54.8,1.78,1.53,45.35,8.89,80.6,54.8,76.0,17.89,0.81
-0.9804691603616321,-0.19667288979357622,44.79,8.96,79.5,54.5,1.79,1.51,44.79,8.96,79.5,54.5,77.0,17.36,0.82
-0.9769384927771817,-0.2135209154397959,44.97,9.33,78.4,51.2,1.76,1.48,44.97,9.33,78.4,51.2,73.0,16.5,0.81
-0.973118337233262,-0.23030567023061196,45.15,9.81,76.6,50.4,1.74,1.48,45.15,9.81,76.6,50.4,71.0,16.25,0.8
-0.9690098257244062,-0.24702218048093572,45.33,8.57,73.2,50.2,1.76,1.46,45.33,8.57,73.2,50.2,73.0,15.92,0.79
-0.9646141756912435,-0.2636654927280072,45.36,8.63,73.8,50.3,1.74,1.46,45.36,8.63,73.8,50.3,71.0,15.86,0.8
-0.9599326896597445,-0.2802306751992161,45.3,9.29,75.0,50.3,1.74,1.45,45.3,9.29,75.0,50.3,71.0,15.56,0.82
-0.9549667548552553,-0.2967128192734901,45.19,9.53,75.9,50.3,1.75,1.45,45.19,9.53,75.9,50.3,72.0,15.37,0.79
-0.9497178427914318,-0.31310704093582625,39.85,9.41,73.8,50.1,1.74,1.43,39.85,9.41,73.8,50.1,71.0,14.88,0.78
-0.9441875088341996,-0.3294084822245298,35.43,9.83,70.9,49.0,1.84,1.43,35.43,9.83,70.9,49.0,83.0,20.46,0.79
-0.9383773917408642,-0.3456123126707333,35.02,10.17,73.9,44.3,1.89,1.02,35.02,10.17,73.9,44.3,89.0,4.68,0.86
-0.9322892131745134,-0.3617137307297674,35.01,9.92,59.7,41.6,1.85,0.98,35.01,9.92,59.7,41.6,84.0,4.01,0.85
